pnl,hold,win,open_vs_ama,gap_pct,exit,ticker
0.3400001525878906,1,True,above,0.0902513279484131,SX,MU
0.1800003051757812,1,True,above,4.551938281636579,SX,MU
-1.1800003051757812,0,False,above,2.129001801834296,SX,MU
-1.3400001525878906,2,False,above,1.5869660261663556,SX,MU
1.2400016784667969,0,True,above,0.29924529757089,SX,MU
-4.140003204345703,4,False,above,2.6679928077940853,SX,MU
0.589996337890625,1,True,below,-0.5240641056036582,SX,MU
0.1999969482421875,0,True,above,1.1239672498473712,SX,MU
-0.589996337890625,2,False,above,4.743898747151464,SX,MU
-0.0900039672851562,2,False,above,2.202190243510575,SX,MU
-0.2900009155273437,0,False,below,-2.0144224655935346,SX,MU
0.80999755859375,0,True,above,5.045942093624275,SX,MU
1.1999969482421875,1,True,above,2.0204961111785877,SX,MU
1.30999755859375,0,True,above,2.2692202461426394,SX,MU
1.6399993896484375,0,True,above,5.7200793090048885,SX,MU
-1.4199981689453125,1,False,above,3.085345910410341,SX,MU
4.630001068115234,1,True,above,5.8124998615415135,TP,MU
-0.7700004577636719,3,False,above,3.433116419834567,SX,MU
-0.8700027465820312,0,False,above,1.6720713674895562,SX,MU
0.4300003051757812,1,True,above,1.7310080158704344,SX,MU
0.3600006103515625,1,True,above,0.621659931519237,SX,MU
-0.3799972534179687,0,False,above,1.6497139656661213,SX,MU
-0.3199996948242187,0,False,above,4.48589830196203,SX,MU
0.220001220703125,0,True,above,0.0175705729402754,SX,MU
2.9799957275390625,1,True,above,2.023418598298794,TP,MU
0.8199996948242188,0,True,above,2.7377328789892172,SX,MU
-2.5699996948242188,2,False,above,0.8131534515482736,SX,MU
-4.649993896484375,4,False,above,1.5392727666421446,SX,MU
0.94000244140625,2,True,above,4.6970463379647835,SX,MU
1.3899993896484375,2,True,above,5.520223168942226,SX,MU
2.9899978637695312,3,True,above,7.769277961467946,SX,MU
0.1899948120117187,1,True,above,5.772552297876221,SX,MU
-4.590003967285156,2,False,above,4.4999472272513845,SX,MU
-1.0999984741210938,1,False,above,2.3129839196653883,SX,MU
-13.849998474121094,8,False,above,4.081963218625022,SX,MU
-8.279998779296875,5,False,below,-1.6974228125341662,SX,MU
2.2999954223632812,0,True,above,2.2888693057455747,SX,MU
-4.75,3,False,above,0.2318494909455102,SX,MU
9.319992065429688,1,True,above,9.889252410037566,TP,MU
11.3699951171875,1,True,above,1.844284303453589,TP,MU
5.2899932861328125,2,True,above,6.0821536757465235,SX,MU
-13.969985961914062,2,False,above,2.8227801883593124,SX,MU
-0.3499755859375,0,False,above,7.99955503017899,SX,MU
9.290008544921877,1,True,above,6.4686435567335065,TP,MU
8.139984130859375,0,True,above,2.0588939080313,SX,MU
22.720001220703125,0,True,above,2.847403078462599,TP,MU
