ticker,name,exchange,sector_yf
MMSI,Merit Medical Systems,NASDAQ,Healthcare
MNKD,MannKind Corp,NASDAQ,Healthcare
MNST,Monster Beverage,NYSE,Consumer Defensive
MO,Altria,NYSE,Consumer Defensive
MOH,Molina Healthcare,NYSE,Healthcare
MOS,Mosaic Company (The),NYSE,Basic Materials
MPC,Marathon Petroleum,NYSE,Energy
MPWR,Monolithic Power Systems,NYSE,Technology
MRK,Merck & Co.,NYSE,Healthcare
MRKR,Marker Therapeutics,NASDAQ,Healthcare
MRNA,Moderna,NYSE,Healthcare
MRSH,Marsh McLennan,NYSE,Financial Services
MRTN,Marten Transport,NASDAQ,Industrials
MS,Morgan Stanley,NYSE,Financial Services
MSCI,MSCI Inc.,NYSE,Financial Services
MSFT,Microsoft,NYSE,Technology
MSI,Motorola Solutions,NYSE,Technology
MTB,M&T Bank,NYSE,Financial Services
MTCH,Match Group,NYSE,Communication Services
MTD,Mettler Toledo,NYSE,Healthcare
MU,Micron Technology,NYSE,Technology
MYGN,Myriad Genetics,NASDAQ,Healthcare
NAPA,Duckwall-ALCO Stores,NYSE,Consumer Defensive
NBTB,NBT Bancorp,NASDAQ,Financial Services
NCLH,Norwegian Cruise Line Holdings,NYSE,Consumer Cyclical
NDAQ,"Nasdaq, Inc.",NYSE,Financial Services
NDSN,Nordson Corporation,NYSE,Industrials
NEE,NextEra Energy,NYSE,Utilities
NEM,Newmont,NYSE,Basic Materials
NFLX,Netflix,NYSE,Communication Services
NI,NiSource,NYSE,Utilities
NKE,"Nike, Inc.",NYSE,Consumer Cyclical
NKLA,Nikola Corp,NASDAQ,Consumer Cyclical
NOC,Northrop Grumman,NYSE,Industrials
NOW,ServiceNow,NYSE,Technology
NRG,NRG Energy,NYSE,Utilities
NSC,Norfolk Southern,NYSE,Industrials
NTAP,NetApp,NYSE,Technology
NTRS,Northern Trust,NYSE,Financial Services
NTST,NETSTREIT Corp,NYSE,Real Estate
NUE,Nucor,NYSE,Basic Materials
NUVL,Nuvalent Inc,NASDAQ,Healthcare
NVDA,Nvidia,NYSE,Technology
NVR,"NVR, Inc.",NYSE,Consumer Cyclical
NVRO,Nevro Corp,NYSE,Healthcare
NWFL,Norwood Financial,NASDAQ,Financial Services
NWS,News Corp (Class B),NYSE,Communication Services
NWSA,News Corp (Class A),NYSE,Communication Services
NXPI,NXP Semiconductors,NYSE,Technology
O,Realty Income,NYSE,Real Estate
OCFC,OceanFirst Financial,NASDAQ,Financial Services
ODFL,Old Dominion,NYSE,Industrials
OFIX,Orthofix Medical,NASDAQ,Healthcare
OKE,Oneok,NYSE,Energy
OMC,Omnicom Group,NYSE,Communication Services
OMCL,Omnicell Inc,NASDAQ,Healthcare
ON,ON Semiconductor,NYSE,Technology
OPCH,Option Care Health,NASDAQ,Healthcare
ORCL,Oracle Corporation,NYSE,Technology
ORLY,O’Reilly Automotive,NYSE,Consumer Cyclical
OSGB,Overseas Shipholding Group,NYSE,Industrials
OTIS,Otis Worldwide,NYSE,Industrials
OTTR,Otter Tail Corp,NASDAQ,Utilities
OXY,Occidental Petroleum,NYSE,Energy
PANW,Palo Alto Networks,NYSE,Technology
PATK,Patrick Industries,NASDAQ,Consumer Cyclical
PAYC,Paycom,NYSE,Industrials
PAYX,Paychex,NYSE,Industrials
PCAR,Paccar,NYSE,Industrials
PCG,PG&E Corporation,NYSE,Utilities
PEG,Public Service Enterprise Group,NYSE,Utilities
PEP,PepsiCo,NYSE,Consumer Defensive
PFE,Pfizer,NYSE,Healthcare
PFG,Principal Financial Group,NYSE,Financial Services
PFIS,Peoples Financial Services,NASDAQ,Financial Services
PG,Procter & Gamble,NYSE,Consumer Defensive
PGR,Progressive Corporation,NYSE,Financial Services
