variant,quarter,ticker,return_90d_pct,right_tail_bucket,mechanical_exclusion_category,mechanical_detail,candidate_rank_if_eligible,candidate_hc_score_if_eligible,entry_score_0_100,rm_signal_bucket,hp_signal_bucket,rm_flags_active,hp_flags_active,primary_theme
entry_score_top10,2025Q2,FWRD,106.8063,2x_to_5x,not_variant_eligible,entry_score_below_70,,,12,1,0,rm_buy_review_flag,,
entry_score_top10,2022Q4,AI,106.6611,2x_to_5x,not_variant_eligible,entry_score_below_70,,,27,1,0,rm_buy_review_flag,,
entry_score_top10,2023Q1,RRGB,106.3536,2x_to_5x,not_variant_eligible,entry_score_below_70,,,32,1,0,rm_buy_review_flag,,
entry_score_top10,2024Q3,PTON,104.5147,2x_to_5x,not_variant_eligible,entry_score_below_70,,,46,2+,0,rm_buy_review_flag,,
entry_score_top10,2023Q4,SMCI,103.1025,2x_to_5x,not_variant_eligible,entry_score_below_70,,,8,0,1,,,
entry_score_top10,2024Q4,SLQT,102.9703,2x_to_5x,not_variant_eligible,entry_score_below_70,,,47,1,0,rm_buy_review_flag,,
entry_score_top10,2026Q1,NOK,102.6688,2x_to_5x,not_variant_eligible,entry_score_below_70,,,0,0,0,,,telecom network modernization
entry_score_top10,2022Q2,SHLS,101.8405,2x_to_5x,not_variant_eligible,entry_score_below_70,,,53,1,0,rm_buy_review_flag,,
entry_score_top10,2026Q1,SILC,101.8229,2x_to_5x,not_variant_eligible,entry_score_below_70,,,16,0,0,,,
entry_score_top10,2025Q2,FLNC,101.4303,2x_to_5x,not_variant_eligible,entry_score_below_70,,,17,1,0,rm_buy_review_flag,,
entry_score_top10,2025Q2,SMCI,101.3393,2x_to_5x,not_variant_eligible,entry_score_below_70,,,4,1,1,rm_buy_review_flag,,
entry_score_top10,2023Q4,XMTR,101.2743,2x_to_5x,not_variant_eligible,entry_score_below_70,,,14,1,0,rm_buy_review_flag,,
entry_score_top10,2024Q3,ULCC,100.9375,2x_to_5x,not_variant_eligible,entry_score_below_70,,,37,1,0,rm_buy_review_flag,,
entry_score_top10,2024Q1,REAL,100.6944,2x_to_5x,eligible_but_ranked_below_top10,entry_score_ge_70,39,74.000000,74,1,0,rm_buy_review_flag,,
entry_score_top10,2025Q3,SHLS,100.4338,2x_to_5x,eligible_but_ranked_below_top10,entry_score_ge_70,41,74.000000,74,1,0,rm_buy_review_flag,,
entry_score_top10,2022Q4,ACLS,100.1217,2x_to_5x,not_variant_eligible,entry_score_below_70,,,66,1,2+,rm_buy_review_flag,hp_LLM_best,
