ticker,cik,doc_type,accession,document,status,text_len,table_count,html_path,text_path
HLT,1585689,earnings_exhibit,0001585689-23-000191,q32023earningsrelease.htm,fetched,46260,18,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HLT_000158568923000191_q32023earningsrelease.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HLT_000158568923000191_q32023earningsrelease.htm.txt
HLT,1585689,periodic_10q_10k,0001585689-23-000193,hlt-20230930.htm,fetched,112438,38,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HLT_000158568923000193_hlt-20230930.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HLT_000158568923000193_hlt-20230930.htm.txt
HLX,866829,primary_8k,0000866829-23-000035,hlx-20231023x8k.htm,fetched,4176,4,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HLX_000086682923000035_hlx-20231023x8k.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HLX_000086682923000035_hlx-20231023x8k.htm.txt
HLX,866829,earnings_exhibit,0000866829-23-000035,hlx-20231023xex99d1.htm,fetched,27977,10,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HLX_000086682923000035_hlx-20231023xex99d1.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HLX_000086682923000035_hlx-20231023xex99d1.htm.txt
HLX,866829,earnings_exhibit,0000866829-23-000035,hlx-20231023xex99d2.htm,fetched,26835,34,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HLX_000086682923000035_hlx-20231023xex99d2.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HLX_000086682923000035_hlx-20231023xex99d2.htm.txt
HLX,866829,periodic_10q_10k,0000866829-23-000038,hlx-20230930x10q.htm,fetched,162121,128,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HLX_000086682923000038_hlx-20230930x10q.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HLX_000086682923000038_hlx-20230930x10q.htm.txt
HMN,850141,primary_8k,0001628280-23-036446,hmn-20231102.htm,fetched,4178,8,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HMN_000162828023036446_hmn-20231102.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HMN_000162828023036446_hmn-20231102.htm.txt
HMN,850141,earnings_exhibit,0001628280-23-036446,q32023ex991-glossaryofterms.htm,fetched,17461,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HMN_000162828023036446_q32023ex991-glossaryofterms.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HMN_000162828023036446_q32023ex991-glossaryofterms.htm.txt
HMN,850141,earnings_exhibit,0001628280-23-036446,q32023ex992-earningsrelease.htm,fetched,33552,13,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HMN_000162828023036446_q32023ex992-earningsrelease.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HMN_000162828023036446_q32023ex992-earningsrelease.htm.txt
HMN,850141,periodic_10q_10k,0001628280-23-037309,hmn-20230930.htm,fetched,296898,172,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HMN_000162828023037309_hmn-20230930.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HMN_000162828023037309_hmn-20230930.htm.txt
HNI,48287,primary_8k,0000048287-23-000203,hni-20231031.htm,fetched,3003,4,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HNI_000004828723000203_hni-20231031.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HNI_000004828723000203_hni-20231031.htm.txt
HNI,48287,earnings_exhibit,0000048287-23-000203,hni-ex991q32023.htm,fetched,30541,16,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HNI_000004828723000203_hni-ex991q32023.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HNI_000004828723000203_hni-ex991q32023.htm.txt
