ticker,variant,r_multiple,data_start,data_end,trades,total_R,avg_R,pf_R,win_rate,target_rate,stop_rate,gap_stop_rate,time_exit_rate,avg_hold_days,target_3R_count,target_4R_count,avg_effective_r,pnl_1share,avg_trade_1share
MMM,adaptive-v1,3.0,1999-01-04,2026-05-08,15,-12.727543324883369,-0.848502888325558,0.2278990993928136,0.13333333333333333,0.06666666666666667,0.6666666666666666,0.2,0.06666666666666667,8.666666666666666,15,0,3.0,-20.130466461181598,-1.3420310974121066
MMM,adaptive-v2,3.0,1999-01-04,2026-05-08,2,-2.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,2,0,3.0,-1.2959938049316335,-0.6479969024658168
MMM,adaptive-v2-extreme-research,3.0,1999-01-04,2026-05-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
MP,legacy,3.0,2020-06-22,2026-05-08,12,0.6172837286482347,0.05144031072068622,1.074034035847742,0.3333333333333333,0.16666666666666666,0.5833333333333334,0.08333333333333333,0.16666666666666666,7.583333333333333,12,0,3.0,16.81598472595215,1.4013320604960124
MP,r3-core,3.0,2020-06-22,2026-05-08,1,-1.2096770224041609,-1.2096770224041609,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,3.0,-2.25,-2.25
MP,r3-v5-broad,3.0,2020-06-22,2026-05-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
MP,r3-v5-priority,3.0,2020-06-22,2026-05-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
MP,adaptive-v1,3.0,2020-06-22,2026-05-08,2,2.0,1.0,3.0,0.5,0.5,0.5,0.0,0.0,2.5,2,0,3.0,3.7900009155273438,1.8950004577636719
MP,adaptive-v2,3.0,2020-06-22,2026-05-08,1,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1,0,3.0,-0.29000091552734375,-0.29000091552734375
MP,adaptive-v2-extreme-research,3.0,2020-06-22,2026-05-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
MRK,legacy,3.0,1999-01-04,2026-05-08,80,-5.209660020309545,-0.0651207502538693,0.9146190596693352,0.25,0.225,0.65,0.0875,0.0375,4.1625,80,0,3.0,-4.792793273925831,-0.05990991592407289
MRK,r3-core,3.0,1999-01-04,2026-05-08,43,-2.267134092917491,-0.052724048672499794,0.9291520595963284,0.2558139534883721,0.20930232558139536,0.7441860465116279,0.0,0.046511627906976744,4.0,43,0,3.0,4.235683441162166,0.09850426607353875
MRK,r3-v5-broad,3.0,1999-01-04,2026-05-08,15,11.616162431956582,0.7744108287971054,2.4520203039945727,0.4666666666666667,0.4,0.5333333333333333,0.0,0.06666666666666667,5.8,15,0,3.0,10.734416961669965,0.7156277974446643
MRK,r3-v5-priority,3.0,1999-01-04,2026-05-08,8,12.0,1.5,5.0,0.625,0.625,0.375,0.0,0.0,4.375,8,0,3.0,9.434879302978558,1.1793599128723198
MRK,adaptive-v1,3.0,1999-01-04,2026-05-08,19,8.765148885380153,0.46132362554632383,1.7164082998040227,0.3684210526315789,0.3684210526315789,0.5263157894736842,0.10526315789473684,0.0,3.6842105263157894,19,0,3.0,9.435634613037152,0.4966123480545869
MRK,adaptive-v2,3.0,1999-01-04,2026-05-08,2,-2.151517354170452,-1.075758677085226,0.0,0.0,0.0,0.5,0.5,0.0,0.5,2,0,3.0,-0.725189208984375,-0.3625946044921875
MRK,adaptive-v2-extreme-research,3.0,1999-01-04,2026-05-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
MSFT,legacy,3.0,1999-01-04,2026-05-08,110,-4.11643015490562,-0.03742209231732382,0.948374744410855,0.2636363636363636,0.21818181818181817,0.6454545454545455,0.06363636363636363,0.07272727272727272,5.3,110,0,3.0,25.53130531311027,0.2321027755737297
MSFT,r3-core,3.0,1999-01-04,2026-05-08,46,20.985360682511235,0.45620349309807035,1.7290689817087097,0.41304347826086957,0.32608695652173914,0.5652173913043478,0.021739130434782608,0.08695652173913043,5.630434782608695,46,0,3.0,84.34503364562987,1.8335876879484754
MSFT,r3-v5-broad,3.0,1999-01-04,2026-05-08,16,12.0,0.75,2.3333333333333335,0.4375,0.4375,0.5625,0.0,0.0,3.8125,16,0,3.0,47.05000495910639,2.9406253099441493
MSFT,r3-v5-priority,3.0,1999-01-04,2026-05-08,11,5.0,0.45454545454545453,1.7142857142857142,0.36363636363636365,0.36363636363636365,0.6363636363636364,0.0,0.0,2.8181818181818183,11,0,3.0,25.819993972778263,2.3472721793434785
