ticker,variant,break_date,entry_date,passed_variant,reject_reasons,vol_profile,vol_regime,broken_support,support_distance_pct,fvg_age_bars,support_ratcheted_count,stop_source,entry,stop,risk,gap_pct,risk_pct,risk_atr,close_vs_sma10,ret5,atr_pct,break_range_pct,bearish_fvg_count_since_support,bearish_fvg_sequence_max_since_support,last_bearish_fvg_age_bars,bearish_fvg_gap_sum_since_support,bearish_fvg_gap_max_since_support,bearish_confirmation_source,has_break_day_bearish_fvg,has_bearish_fvg_sequence,has_bearish_fvg_since_support,has_range_displacement
COST,adaptive-v2,2024-11-14,2024-11-15,False,TREND;GAP;STOP_SOURCE;FVG_AGE,LOW_VOL,NORMAL_RELATIVE_VOL,931.4400024414062,-0.008171955182177814,3,2,SUPPORT,917.739990234375,931.4400024414062,13.70001220703125,-0.006656662932332747,0.014927988703567884,0.8705924658919458,0.011549922060875755,0.01089801412851732,0.017032789388222235,0.009719816603195196,0,0,-1,0.0,0.0,NONE,False,False,False,False
COST,adaptive-v2,2024-12-18,2024-12-19,False,GAP;CLOSE_VS_SMA10;SUPPORT_DISTANCE;FVG_AGE,LOW_VOL,NORMAL_RELATIVE_VOL,977.5499877929688,-0.01327818654587095,10,1,BREAK_HIGH,974.510009765625,985.5999755859376,11.089965820312614,0.010127101219134143,0.011380043005386687,0.6653792099012343,-0.022379864480151033,-0.030109895679579335,0.017276298510268517,0.02238942700062645,0,0,-1,0.0,0.0,BREAK_DAY_BEARISH_FVG,True,False,False,True
COST,adaptive-v2,2025-01-23,2025-01-24,False,TREND;RET5;RISK_PCT;RISK_ATR;GAP;STOP_SOURCE;FVG_AGE,LOW_VOL,NORMAL_RELATIVE_VOL,943.5,-0.0014222922790874967,2,0,SUPPORT,942.1599731445312,943.5,1.34002685546875,0.0,0.0014222922790874967,0.08513121568384155,0.010113331485950524,0.020205709956178985,0.01670705942188791,0.007323622962917064,0,0,-1,0.0,0.0,BREAK_DAY_BEARISH_FVG,True,False,False,False
COST,adaptive-v2,2025-02-07,2025-02-10,False,RET5;CLOSE_VS_SMA10;RISK_ATR,MID_VOL,NORMAL_RELATIVE_VOL,1044.199951171875,-0.0003735282821955885,1,5,BREAK_HIGH,1052.0,1056.7099609375,4.7099609375,0.007846198969651353,0.00447714918013308,0.2361814384272293,0.04253815440959282,0.06524273726616481,0.01910513295822571,0.02031016179364679,0,0,-1,0.0,0.0,RANGE_DISPLACEMENT,False,False,False,True
COST,adaptive-v2,2025-02-18,2025-02-19,False,GAP;SUPPORT_DISTANCE,MID_VOL,NORMAL_RELATIVE_VOL,1068.010009765625,-0.011344355876628338,1,0,BREAK_HIGH,1056.06005859375,1071.0,14.93994140625,2.8436025531389557e-05,0.014146867201988524,0.7395758719065046,0.0010085878364411065,-0.005546570744210166,0.01912889538458866,0.024393254974743955,0,0,-1,0.0,0.0,RANGE_DISPLACEMENT,False,False,False,True
COST,adaptive-v2,2025-02-26,2025-02-27,False,RISK_ATR;GAP;CLOSE_VS_SMA10,LOW_VOL,NORMAL_RELATIVE_VOL,1037.4599609375,-0.005319912778696881,1,0,BREAK_HIGH,1034.0,1058.8900146484375,24.8900146484375,0.0019671398921538917,0.024071580897908607,1.3577794446613929,-0.019551610746298666,-0.028770744852445795,0.017763513183081767,0.02782053911698485,0,0,-1,0.0,0.0,RANGE_DISPLACEMENT,False,False,False,True
COST,adaptive-v2,2025-04-04,2025-04-07,False,TREND;CLOSE_VS_SMA10;RISK_PCT;RISK_ATR;GAP;FVG_AGE,MID_VOL,NORMAL_RELATIVE_VOL,922.489990234375,-0.006557709817677712,8,1,BREAK_HIGH,887.75,964.52001953125,76.77001953125,-0.03134818117255059,0.08647707071951563,2.9366389282598724,-0.025361387076250585,-0.014177218613812714,0.028524505015999724,0.0549712006333675,0,0,-1,0.0,0.0,RANGE_DISPLACEMENT,False,False,False,True
COST,adaptive-v2,2025-04-16,2025-04-17,False,TREND;HIGH_VOL_NEAR_SMA10;RISK_ATR;BEARISH_SEQUENCE,HIGH_VOL,ELEVATED_RELATIVE_VOL,974.25,-0.006716610694910876,1,0,BREAK_HIGH,973.280029296875,978.6500244140624,5.369995117187386,0.005714315987470938,0.005517420429418266,0.1362868637617066,0.016828235069344045,0.0026523249848406927,0.040715213190978226,0.020056868178442145,0,0,-1,0.0,0.0,NONE,False,False,False,False
COST,adaptive-v2,2025-05-13,2025-05-14,False,TREND;RISK_ATR;GAP;FVG_AGE,MID_VOL,NORMAL_RELATIVE_VOL,1004.6099853515624,-0.00558537370354583,7,0,BREAK_HIGH,998.760009765625,1023.8300170898438,25.07000732421875,-0.0002702816965772709,0.02510113248336988,1.2868667469458366,-0.007457240839081186,-0.011350787435056908,0.01950034699882759,0.03626521770262013,0,0,-1,0.0,0.0,RANGE_DISPLACEMENT,False,False,False,True
COST,adaptive-v2,2025-05-21,2025-05-22,False,RET5;GAP,MID_VOL,NORMAL_RELATIVE_VOL,1030.010009765625,-0.0045937391136217035,1,1,BREAK_HIGH,1027.719970703125,1039.469970703125,11.75,0.002360208485082849,0.011433075482576367,0.6228465757590746,0.009622631805813084,0.03404811863254009,0.018399490934624386,0.015283314311811829,0,0,-1,0.0,0.0,RANGE_DISPLACEMENT,False,False,False,True
