quarter,ticker,event_date,revenue_bucket,revenue_value_millions,avg_dollar_volume_60d,earnings_score,earnings_score_bucket,guidance_torque,earnings_torque,segment_wave_torque,margin_quality,warning_penalty,guidance_vs_current_pct,score_status,score_missing_fields,extraction_source,quarter_revenue_millions,quarter_revenue_yoy_pct,guidance_revenue_millions,numeric_evidence_count,guidance_evidence_count,wave_or_demand_evidence_count,warning_or_risk_evidence_count,exhibit_doc_count,exhibit_text_len,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct,adv_bucket,sector_gics
2024Q3,EWBC,2024-07-23,<$100M,41.219,60608003.02,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,5,2,6,6,1,23709,2024-07-24,85.000000,-9.6118,-8.0588,-0.3647,-3.0588,6.3294,>$50M ADV,
2024Q3,EYPT,2024-08-07,<$100M,7.683,15305184.82,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,9.5,,,2,3,6,6,1,13231,2024-08-08,8.920000,-10.9865,-1.1211,-7.6233,-2.3543,35.4260,$10M-$50M ADV,
2024Q3,FATE,2024-08-13,<$100M,58.98,10114334.65,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,6.8,,,1,2,6,4,1,19166,2024-08-14,3.380000,14.7929,2.0710,18.9349,-9.7633,-29.5858,$10M-$50M ADV,
2024Q3,FCEL,2024-09-05,<$100M,75.422,39144041.81,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,23.7,,,6,6,6,6,2,52261,2024-09-06,12.900000,9.3023,-9.3023,-16.2791,-13.9535,-16.7442,$10M-$50M ADV,
2024Q3,FCPT,2024-07-31,<$100M,59.952,10151755.14,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,57.9,,,6,1,6,6,3,63915,2024-08-01,27.709999,-3.2118,-2.3818,2.4901,5.7741,0.6135,$10M-$50M ADV,
2024Q3,FDMT,2024-08-08,<$100M,0.298,13493578.8,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,0,4,6,4,1,14813,2024-08-09,15.680000,-6.1862,-2.7423,-2.7423,-40.1786,-47.1939,$10M-$50M ADV,
2024Q3,FIP,2024-08-02,<$100M,76.494,11616846.28,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,45.6,,,2,0,6,6,1,20899,2024-08-05,8.610000,9.1754,7.3171,2.3229,13.7050,-3.2520,$10M-$50M ADV,
2024Q3,FLG,2024-07-25,<$100M,22.0,57613889.67,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,541,,,6,4,6,6,1,65717,2024-07-26,10.650000,-5.3521,-2.5352,4.6948,2.6291,7.9812,>$50M ADV,
2024Q3,FLYW,2024-08-06,<$100M,94.357,30097378.63,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,regex_fallback,103.7,22,,6,6,6,6,2,47310,2024-08-07,17.500000,-1.7714,1.0286,-0.2857,-6.8000,1.9429,$10M-$50M ADV,
2024Q3,FOLD,2024-08-08,<$100M,86.27,26329192.98,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,126.7,,,6,6,6,6,2,37568,2024-08-09,11.390000,4.3898,-0.7902,1.0536,-11.8525,-3.5997,$10M-$50M ADV,
2024Q3,FROG,2024-08-07,<$100M,79.82,43298619.88,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,103,,,6,3,6,6,1,25320,2024-08-08,25.190001,8.9718,8.5351,11.5919,8.0587,25.9230,$10M-$50M ADV,
2024Q3,GBCI,2024-07-18,<$100M,20.879,19632457.14,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,6,3,6,6,1,57954,2024-07-19,43.910000,1.7764,-4.3954,0.1366,2.2546,11.9107,$10M-$50M ADV,
2024Q3,GERN,2024-08-08,<$100M,0.021,50374293.77,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,1.2,,,5,2,6,6,1,22913,2024-08-09,4.600000,-3.0435,-0.8696,-4.1304,-7.1739,-6.7391,>$50M ADV,
2024Q3,GKOS,2024-07-31,<$100M,73.899,51549634.97,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,95.7,,,6,6,6,6,3,74606,2024-08-01,111.040001,9.4020,17.0749,19.7767,17.3271,24.8919,>$50M ADV,
2024Q3,GNK,2024-08-07,<$100M,94.391,12615977.09,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,107,,,6,6,6,6,1,44674,2024-08-08,17.840000,-2.5224,-3.1951,-6.7265,3.1390,-5.9978,$10M-$50M ADV,
2024Q3,GNL,2024-08-06,<$100M,94.332,10441014.83,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,203.3,,,6,6,6,6,2,88773,2024-08-07,8.470000,-1.2987,2.1251,3.3058,-1.1806,-8.5006,$10M-$50M ADV,
2024Q3,GSHD,2024-07-24,<$100M,57.955,19330930.72,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,regex_fallback,78.1,13,,6,6,6,6,1,26081,2024-07-25,77.529999,10.5121,9.0417,7.0553,13.5818,23.8617,$10M-$50M ADV,
2024Q3,HASI,2024-08-01,<$100M,69.101,33860679.45,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,95,,,6,6,6,6,1,46255,2024-08-02,31.000000,-2.5484,-0.4194,5.7097,7.7097,12.8710,$10M-$50M ADV,
2024Q3,HUT,2024-08-13,<$100M,15.647,46873222.44,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,35.2,,,6,2,6,6,1,23852,2024-08-14,11.210000,7.7609,-18.9117,0.2676,8.6530,112.8457,$10M-$50M ADV,
2024Q3,IBTA,2024-08-13,<$100M,57.691,18725681.69,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,87.9,,,6,5,6,6,1,24492,2024-08-14,54.410000,5.2748,-0.6616,9.3181,31.6302,40.5992,$10M-$50M ADV,
2024Q3,IIPR,2024-08-06,<$100M,76.067,20637049.11,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,79.8,,,6,6,6,6,2,77469,2024-08-07,115.930000,3.1226,6.3400,4.0887,11.6105,14.1551,$10M-$50M ADV,
2024Q3,IMAX,2024-07-25,<$100M,86.946,13319567.98,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,89,,,6,5,6,6,1,33803,2024-07-26,19.850000,4.5844,0.9068,10.5793,-0.5542,1.1083,$10M-$50M ADV,
2024Q3,IMCR,2024-08-08,<$100M,54.659,38373544.08,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,75.3,,,4,6,6,6,1,31770,2024-08-09,38.419998,-3.9823,-9.8646,-11.8428,-20.4321,-10.6975,$10M-$50M ADV,
2024Q3,IMNM,2024-08-12,<$100M,2.364,14740329.15,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,0,5,2,2,1,8801,2024-08-13,12.740000,21.2716,10.2041,15.4631,-4.6311,4.0816,$10M-$50M ADV,
2024Q3,INDI,2024-08-08,<$100M,40.452,20197656.54,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,52.4,,,6,6,6,6,1,28856,2024-08-09,4.800000,-13.3333,-13.7500,-32.9167,-22.0833,-28.5417,$10M-$50M ADV,
2024Q3,INSM,2024-08-08,<$100M,65.214,165447241.93,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,90.3,,,3,6,6,6,1,35923,2024-08-09,72.809998,6.5650,4.8345,-1.3597,-1.9777,-1.5382,>$50M ADV,
2024Q3,IONQ,2024-08-07,<$100M,4.285,39214027.39,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,38,,,2,6,6,6,1,18316,2024-08-08,7.240000,0.6906,-3.1768,-8.5635,25.2762,127.2100,$10M-$50M ADV,
2024Q3,IOVA,2024-08-08,<$100M,0.715,62462430.3,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,55,,,5,6,6,6,1,27858,2024-08-09,9.390000,19.1693,21.1928,5.0053,3.5144,30.7774,>$50M ADV,
2024Q3,JAGX,2024-08-13,<$100M,4.335,10262645.82,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,2.72,,,3,2,6,6,1,17848,2024-08-14,26.500000,10.3774,5.6604,3.7736,18.8679,2.8302,$10M-$50M ADV,
