quarter,ticker,event_date,revenue_bucket,revenue_value_millions,avg_dollar_volume_60d,earnings_score,earnings_score_bucket,guidance_torque,earnings_torque,segment_wave_torque,margin_quality,warning_penalty,guidance_vs_current_pct,score_status,score_missing_fields,extraction_source,quarter_revenue_millions,quarter_revenue_yoy_pct,guidance_revenue_millions,numeric_evidence_count,guidance_evidence_count,wave_or_demand_evidence_count,warning_or_risk_evidence_count,exhibit_doc_count,exhibit_text_len,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct
2024Q3,ARTNA,2024-08-06,<$100M,22.495,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,27.4,,,6,1,6,4,1,8281,2024-08-07,36.680000,0.4907,-2.7808,-0.7361,-3.5714,-1.6358
2024Q3,ASLE,2024-08-07,<$100M,78.271,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,77.1,,,6,1,6,6,1,25615,2024-08-08,5.300000,-1.3208,-5.4717,-3.2075,-9.8113,12.4528
2024Q3,ASNS,2024-08-14,<$100M,1.848,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,3.43,,,6,1,6,6,1,23049,2024-08-15,13.400000,22.3881,13.4328,23.8806,2.2388,2.2388
2024Q3,ASRT,2024-08-07,<$100M,42.466,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,30.7,,,6,2,6,6,1,29332,2024-08-08,18.750000,0.0000,-6.4000,2.4000,-9.6000,-20.0000
2024Q3,ASTS,2024-08-14,<$100M,0.5,,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,0,5,6,6,2,29860,2024-08-15,21.799999,54.9541,51.7431,36.8807,15.2294,27.9358
2024Q3,ASUR,2024-08-01,<$100M,33.064,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,28,,,6,6,6,6,1,31101,2024-08-02,8.990000,-10.5673,-4.0044,-6.6741,-1.4461,10.3448
2024Q3,ATEC,2024-07-31,<$100M,75.456,,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,regex_fallback,146,27,,6,6,6,6,1,16811,2024-08-01,7.900000,-21.2658,-28.1013,-13.9240,-29.6203,-28.8608
2024Q3,ATEN,2024-07-30,<$100M,57.691,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,60.1,,,6,2,6,6,2,30064,2024-07-31,12.820000,-1.2480,3.9002,7.4103,12.6365,14.4306
2024Q3,ATEX,2024-08-06,<$100M,1.919,,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,0,3,6,4,1,9656,2024-08-07,41.169998,-5.6352,-14.8652,-11.8290,-15.0595,-17.4642
2024Q3,ATOM,2024-07-30,<$100M,0.0,,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,0,0,6,6,2,12617,2024-07-31,3.320000,-12.0482,-10.8434,-18.9759,-20.7831,0.3012
2024Q3,ATOS,2024-08-12,<$100M,0.002,,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,0,1,6,6,1,17002,2024-08-13,19.200001,10.9375,4.6875,17.1875,10.9375,26.5625
2024Q3,ATRC,2024-07-30,<$100M,93.494,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,116.3,,,6,4,6,6,1,13545,2024-07-31,22.000000,-4.0455,7.3636,19.1364,27.4545,33.7727
2024Q3,AUPH,2024-08-01,<$100M,34.409,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,55,,,6,6,6,6,1,29460,2024-08-02,5.500000,-0.7273,20.9091,21.4545,32.0000,31.0909
2024Q3,AUR,2024-07-31,<$100M,63.0,,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,1,6,6,6,1,32098,2024-08-01,3.770000,-6.6313,2.3873,12.9974,57.0292,76.1273
2024Q3,AVIR,2024-08-07,<$100M,48.633,,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,0,4,6,6,1,17402,2024-08-08,3.280000,16.4634,15.8537,11.8902,3.9634,9.1463
2024Q3,AVTX,2024-08-12,<$100M,0.475,,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,1,4,6,6,1,12312,2024-08-13,10.470000,-12.1299,-24.4508,-14.1356,-11.2703,26.5521
2024Q3,AX,2024-07-30,<$100M,31.334,,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,6,0,6,6,2,42306,2024-07-31,71.050003,-12.0338,-10.7108,-2.2801,-11.4989,-6.6854
2024Q3,AXGN,2024-08-08,<$100M,36.664,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,47.9,,,6,6,6,6,2,75449,2024-08-09,11.150000,9.9552,16.5022,16.7713,22.0628,19.0135
2024Q3,AXSM,2024-08-05,<$100M,94.576,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,87.2,,,6,6,6,6,1,20486,2024-08-06,84.699997,1.7355,4.4982,10.6139,-0.6375,3.0106
2024Q3,AXTI,2024-08-01,<$100M,19.405,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,27.9,,,4,1,6,6,1,17332,2024-08-02,3.050000,-22.2951,-8.5246,-19.6721,-23.2787,-15.4098
2024Q3,BATRA,2024-08-08,<$100M,30.972,,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,regex_fallback,283,5,,6,1,6,6,1,17861,2024-08-09,45.020000,1.8658,1.9991,-3.0431,-6.7970,-4.4425
2024Q3,BATRK,2024-08-08,<$100M,30.972,,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,regex_fallback,283,5,,6,1,6,6,1,17861,2024-08-09,42.619999,1.1732,2.4871,-4.6222,-7.3440,-4.4815
2024Q3,BBIO,2024-08-01,<$100M,1.826,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,2.2,,,1,4,6,6,1,28893,2024-08-02,24.441000,-1.5589,1.8371,17.5893,1.4688,-4.2183
2024Q3,BCAB,2024-08-08,<$100M,0.0,,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,0,3,6,6,1,18527,2024-08-09,75.000000,26.6667,21.3333,21.3333,36.6667,48.0000
2024Q3,BCYC,2024-08-06,<$100M,4.896,,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,0,5,6,6,1,17018,2024-08-07,23.480000,-1.7888,-4.1738,-12.5213,-0.3407,0.1278
2024Q3,BDTX,2024-08-06,<$100M,0.0,,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,0,5,6,6,1,10924,2024-08-07,5.000000,15.0000,25.4000,8.0000,-26.8000,-35.0000
2024Q3,BEAM,2024-08-06,<$100M,24.208,,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,0,6,6,3,1,12500,2024-08-07,25.510000,-1.9992,3.0576,-8.6241,-8.3105,-6.1936
2024Q3,BEEM,2024-08-13,<$100M,13.02,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,14.8,,,6,1,6,6,1,15587,2024-08-14,5.580000,-5.7348,-20.0717,-5.1971,-18.8172,-21.3262
2024Q3,BENF,2024-07-09,<$100M,-86.435,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,5.6,,,6,2,6,6,1,46623,2024-07-10,32.240002,-0.2481,-20.5955,-43.1762,-55.5831,-59.0571
2024Q3,BFS,2024-08-01,<$100M,63.049,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,66.9,,,6,0,6,6,1,23349,2024-08-02,38.880001,-1.8004,2.6749,3.9609,6.7644,0.6687
2024Q3,BGMS,2024-08-14,<$100M,0.0,,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,0,1,6,6,1,8912,2024-08-15,343.200012,-15.3846,-25.8741,-27.9720,-44.0559,-68.5315
2024Q3,BHB,2024-07-18,<$100M,28.391,,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,6,0,6,6,1,43567,2024-07-19,30.930000,2.4572,-6.0136,-3.4594,2.3925,2.7481
2024Q3,BKKT,2024-08-14,<$100M,13.219,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct,regex_fallback,36.8,,2568,6,6,6,6,1,19208,2024-08-15,12.410000,20.1450,0.1612,-13.9404,-9.9919,-7.0911
2024Q3,BKSY,2024-08-08,<$100M,18.397,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,40,,,6,3,6,6,1,19934,2024-08-09,8.400000,6.6667,11.4286,-16.0714,-31.4286,-8.9286
2024Q3,BLFS,2024-08-08,<$100M,8.227,,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,regex_fallback,18,11,,6,6,6,6,1,25744,2024-08-09,24.480000,7.9248,5.8824,-5.5556,-3.0229,6.7810
2024Q3,BLND,2024-08-08,<$100M,37.336,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,40.5,,,6,5,6,6,1,38713,2024-08-09,3.310000,19.9396,12.9909,5.7402,6.9486,34.1390
2024Q3,BLNK,2024-08-07,<$100M,21.668,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,33.3,,,6,0,6,6,1,24438,2024-08-08,2.380000,-11.7647,-23.1092,-34.0336,-17.6471,-19.7479
2024Q3,BLZE,2024-08-08,<$100M,23.394,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,31.3,,,6,6,6,6,2,54692,2024-08-09,6.000000,11.8333,1.5000,-3.1667,6.6667,32.5000
2024Q3,BNAI,2024-08-14,<$100M,0.0,,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,0,4,6,5,1,12678,2024-08-15,21.000000,-18.5714,-46.1905,-50.0000,-54.1905,-54.0952
