quarter,asof_date,ticker,included,filter_reason,liquidity_flag,asset_class,sector_gics,seed_sources,sec_facts_status,cik,revenue_fact_name,revenue_filed,revenue_form,revenue_period_end,revenue_value,price_date,raw_close,avg_dollar_volume_60d
2024Q3,2024-07-01,BACC,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,0002059654,,,,,,,,
2024Q3,2024-07-01,BACCR,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,0002059654,,,,,,,,
2024Q3,2024-07-01,BACCU,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,0002059654,,,,,,,,
2024Q3,2024-07-01,BACQ,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,0002028707,,,,,,,,
2024Q3,2024-07-01,BACQR,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,0002028707,,,,,,,,
2024Q3,2024-07-01,BACQU,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,0002028707,,,,,,,,
2024Q3,2024-07-01,BAER,False,adv_60d_below_hard_floor,,Equity,,nasdaq,ok,0001941536,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-14,10-Q,2023-03-31,365000,2024-07-01,3.5,133609.5421822866
2024Q3,2024-07-01,BAERW,False,missing_raw_yahoo_price,,Equity,,nasdaq,ok,0001941536,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-14,10-Q,2023-03-31,365000,,,
2024Q3,2024-07-01,BAFN,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,1649739,,,,,,,,
2024Q3,2024-07-01,BALL,True,included,,Equity,Materials,sp500,ok,9389,RevenueFromContractWithCustomerExcludingAssessedTax,2018-08-03,10-Q,2017-06-30,5328000000,2024-07-01,59.54999923706055,141843333.7738355
2024Q3,2024-07-01,BALY,False,missing_raw_yahoo_price,,Equity,,russell2000,ok,1747079,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-03,10-Q,2023-03-31,598720000,,,
