quarter,ticker,cik,event_accession,event_dates,primary_8k_doc,exhibit_docs,periodic_doc,primary_8k_text_len,exhibit_text_len,periodic_text_len,exhibit_table_count,exhibit_table_flag,doc_statuses,quality_pass,quality_reason,revenue_filter_keep_under_10b,revenue_bucket,revenue_value_usd,revenue_value_millions,revenue_filter_reason,revenue_fact_name_bucketed,revenue_filed_bucketed,revenue_form_bucketed,revenue_period_end_bucketed,mandatory_index_constituent,mandatory_indexes,mandatory_index_name,pipeline_status,pipeline_missing_reason
2024Q3,EVH,1628908,0001628908-24-000089,2024-08-08,evh-20240808.htm,a2q24exhibit991.htm,,3609,42230,0,10,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$100M-$500M,427690000,427.69,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-10,10-Q,2023-03-31,False,,,doc_quality_passed,
2024Q3,EVRG,1711269,0001193125-24-197470,2024-08-09,d881251d8k.htm,d881251dex991.htm,,6074,16646,0,20,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$1B-$2B,1296800000,1296.8,keep_under_10b,Revenues,2024-05-09,10-Q,2023-03-31,True,SPY,Evergy,doc_quality_passed,
2024Q3,EVTC,1559865,0001559865-24-000041,2024-07-31,evtc-20240731.htm,ex99106302024.htm,,3666,34927,0,14,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$100M-$500M,159814000,159.814,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-02,10-Q,2023-03-31,False,,,doc_quality_passed,
2024Q3,EW,1099800,0001099800-24-000069,2024-07-24,ew-20240724.htm,ex-991q22024.htm;ex-992q22024.htm,,8709,39476,0,20,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached,True,included,True,$1B-$2B,1459600000,1459.6,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-04-29,10-Q,2023-03-31,True,SPY,Edwards Lifesciences,doc_quality_passed,
2024Q3,EXAS,1124140,0001124140-24-000067,2024-07-31,exas-20240731.htm,exas-20240731xex991.htm,,3535,31911,0,16,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$500M-$1B,602450000,602.45,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-08,10-Q,2023-03-31,False,,,doc_quality_passed,
2024Q3,EXC,1109357,0001109357-24-000154,2024-08-01,exc-20240801.htm,exc-20240801ex991.htm;exc-20240801ex992.htm,,10138,109517,0,45,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached,True,included,True,$2B-$10B,5563000000,5563.0,keep_under_10b,Revenues,2024-05-02,10-Q,2023-03-31,True,QQQ;SPY,Exelon,doc_quality_passed,
2024Q3,EXE,895126,0000895126-24-000106,2024-07-29,chk-20240729.htm,chk-ex_991x20240630x8kxpr.htm,,4350,30475,0,29,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$2B-$10B,3370000000,3370.0,keep_under_10b,Revenues,2024-04-30,10-Q,2023-03-31,True,SPY,Expand Energy,doc_quality_passed,
2024Q3,EXEL,939767,0000939767-24-000116,2024-08-06,exel-20240806.htm,exel20240630exhibit991.htm,,4074,27614,0,19,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$100M-$500M,408788000,408.788,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-04-30,10-Q,2023-03-31,False,,,doc_quality_passed,
2024Q3,EXLS,1297989,0001297989-24-000006,2024-08-01,exls-20240801.htm,exlq224pressrelease.htm,,3468,21447,0,5,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$100M-$500M,400643000,400.643,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-02,10-Q,2023-03-31,False,,,doc_quality_passed,
2024Q3,EXPD,746515,0000950170-24-091438,2024-08-06,expd-20240806.htm,expd-ex99_1.htm,,3669,20012,0,12,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$2B-$10B,2592589000,2592.589,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-09,10-Q,2023-03-31,True,SPY,Expeditors International,doc_quality_passed,
2024Q3,EXPE,1324424,0001324424-24-000036,2024-08-08,expe-20240808.htm,earningsrelease-q22024.htm,,3679,40560,0,12,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$2B-$10B,2665000000,2665.0,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-03,10-Q,2023-03-31,True,SPY,Expedia Group,doc_quality_passed,
2024Q3,EXPI,1495932,0001558370-24-010472,2024-07-31,expi-20240731x8k.htm,expi-20240731xex99d1.htm,,4349,20172,0,18,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$500M-$1B,848453000,848.453,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-01,10-Q,2023-03-31,False,,,doc_quality_passed,
2024Q3,EXR,1289490,0001628280-24-033498,2024-07-30,exr-20240730.htm,q22024ex991earningsrelease.htm,,3462,35637,0,10,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$500M-$1B,503050000,503.05,keep_under_10b,Revenues,2024-05-03,10-Q,2023-03-31,True,SPY,Extra Space Storage,doc_quality_passed,
2024Q3,EXTR,1078271,0000950170-24-092273,2024-08-07,extr-20240807.htm,extr-ex99_1.htm,,3622,36228,0,16,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$500M-$1B,948544000,948.544,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-02,10-Q,2023-03-31,False,,,doc_quality_passed,
