quarter,ticker,cik,revenue_bucket,pipeline_status,pipeline_missing_reason,repair_status,repair_notes,event_accession,event_dates,primary_8k_doc,primary_8k_cached,primary_8k_text_len,exhibit_docs,exhibit_cached_count,exhibit_doc_count,exhibit_text_len,periodic_accession,periodic_doc,periodic_cached,periodic_text_len,earnings_event_ready_for_local_extraction,periodic_doc_ready,coverage_reasons,periodic_reasons
2024Q3,APO,0001858681,$2B-$10B,doc_quality_passed,,,,0001858681-24-000090,2024-08-01,apo-20240801.htm,True,4127,agmearningsrelease2q2024.htm;erex9912q2024.htm,2,2,94841,0001858681-24-000096,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,APP,1751008,$500M-$1B,doc_quality_passed,,,,0001751008-24-000053,2024-08-07,app-20240807.htm,True,3524,a2q24applovinshareholder.htm;exhibit991-pressreleasedat.htm,1,2,25707,0001751008-24-000055,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,APPF,1433195,$100M-$500M,doc_quality_passed,,,,0001433195-24-000103,2024-07-25,appf-20240725.htm,True,3502,appfq22024exhibit991.htm,1,1,23701,0001433195-24-000106,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,APPN,1441683,$100M-$500M,doc_quality_passed,,,,0001441683-24-000068,2024-08-01,appn-20240801.htm,True,3497,appnex991earningsrelease-0.htm,1,1,23769,0001441683-24-000070,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,APTV,1521332,$2B-$10B,doc_quality_passed,,,,0001521332-24-000055,2024-08-01,aptv-20240801.htm,True,5345,aptvq22024ex991.htm,1,1,41829,0001521332-24-000059,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ARCB,894405,$1B-$2B,doc_quality_passed,,,,0001558370-24-010640,2024-08-02,arcb-20240802x8k.htm,True,6146,arcb-20240802xex99d1.htm;arcb-20240802xex99d2.htm;arcb-20240802xex99d3.htm,3,3,84448,0001558370-24-010701,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ARES,1176948,$500M-$1B,doc_quality_passed,,,,0001628280-24-034260,2024-08-02,ares-20240802.htm,True,4549,a2024q2-ex991.htm;a2024q2-ex992earningspre.htm,2,2,136278,0001628280-24-035320,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ARLO,1736946,$100M-$500M,doc_quality_passed,,,,0001736946-24-000033,2024-08-08,arlo-20240808.htm,True,3386,arloearningsrelease-ex991_.htm,1,1,29194,0001736946-24-000035,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ARLP,1086600,$500M-$1B,doc_quality_passed,,,,0001558370-24-010256,2024-07-29,arlp-20240724x8k.htm,True,6258,arlp-20240724xex99d1.htm;arlp-20240724xex99d2.htm,2,2,54694,0001558370-24-011365,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,AROC,1389050,$100M-$500M,doc_quality_passed,,,,0001104659-24-081572,2024-07-22;2024-07-31,tm2419927d1_8k.htm,True,23752,tm2419927d1_ex99-1.htm;tm2419927d1_ex99-2.htm;tm2419927d1_ex99-3.htm,3,3,33294,0001389050-24-000035,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ARRY,1820721,$100M-$500M,doc_quality_passed,,,,0001820721-24-000060,2024-08-08,arry-20240808.htm,True,4384,a2024_q2earningspresenta.htm;exhibit9912024q2pressrelea.htm,2,2,49294,0001820721-24-000062,,False,0,True,False,ready,missing_periodic_doc_name
