Ticker,Revenue group,Net income group,Assets,Financing cash flow,Investing cash flow,Operating cash flow,return from 2024 q3 to today
BHR,$100M-$500M,16034000,2226824000,5273000,-18730000,42314000,-5.2529
BIIB,$2B-$10B,387900000,26844800000,-43400000,-953000000,455300000,-22.2592
BK,$10B-$50B,982000000,409877000000,14413000000,-17752000000,1792000000,111.506
BKH,$500M-$1B,114100000,9620400000,-209100000,-101500000,328700000,38.3486
BKNG,$2B-$10B,1892798000,24342000000,-2562000000,1586000000,2889000000,13.7692
BKR,$2B-$10B,576000000,36945000000,-250000000,-229000000,461000000,94.0311
BLBD,$500M-$1B,-4164000,417766000,-33444000,-3740000,44716000,20.6074
BLDR,$2B-$10B,333786000,10499452000,-411559000,-178860000,654381000,-35.9441
BLKB,$100M-$500M,-14701000,2912279000,-353238000,-15331000,21806000,-50.9652
BLMN,$1B-$2B,91311000,3424081000,-116987000,-62945000,189668000,-68.7952
BMBL,$100M-$500M,-1611000,3625127000,-16168000,-6811000,13389000,-59.203
BMEA,$1B-$2B,-29051000,199927000,201000,-1756000,-24044000,-59.7534
BMI,$100M-$500M,19415000,716919000,-6568000,-21323000,17970000,-34.0562
BMRN,$500M-$1B,50852000,6841603000,-40742000,-30012000,-73932000,-34.9632
BMY,$10B-$50B,2262000000,95159000000,-3050000000,-210000000,2970000000,42.1369
BNED,$100M-$500M,-52707000,980779000,-49675000,-31043000,91670000,67.2524
BNL,$100M-$500M,39304000,5268735000,-144739000,29633000,74376000,26.4371
BOOT,$1B-$2B,192450000,1517381000,-80895000,-60443000,88864000,31.1708
BOX,$100M-$500M,8350000,1241163000,-60921000,-8782000,124930000,-7.5189
BPOP,$100M-$500M,158979000,67675759000,-332797000,172778000,153046000,68.6399
BR,$2B-$10B,306500000,8233200000,63300000,-49100000,94100000,-20.2511
BRK-B,>$50B,35504000000,1069978000000,-9922000000,-7919000000,8693000000,17.5599
BRKR,$500M-$1B,76500000,4249900000,-30700000,-108200000,87500000,-43.3115
BRO,$1B-$2B,236000000,13400000000,-121000000,-43000000,60000000,-26.002
BRSP,$100M-$500M,-4127000,4198254000,-114408000,69622000,39673000,4.9393
BSX,$2B-$10B,314000000,35136000000,-69000000,-484000000,190000000,-21.3151
BSY,$100M-$500M,45490000,3319850000,-134241000,-20761000,176223000,-33.0498
BTSG,$2B-$10B,-21382000,5532721000,-24881000,-17463000,39896000,326.3204
BTSGU,$2B-$10B,-21382000,5532721000,-24881000,-17463000,39896000,243.2534
BTU,$1B-$2B,268500000,5962100000,-39000000,-58500000,386300000,16.1416
BV,$1B-$2B,-40900000,3352200000,-12300000,-51800000,55000000,-6.9933
BVS,$100M-$500M,-139150000,810910000,27380000,-15066000,2490000,77.9541
BWIN,$100M-$500M,-14132000,3501937000,-24522000,-5099000,-14031000,-29.7313
BWXT,$500M-$1B,61092000,2747065000,49336000,-29780000,-13024000,132.0251
BX,$1B-$2B,85812000,40287530000,-1751464000,-74970000,352728000,-2.9826
BXC,$500M-$1B,17812000,1537601000,-2703000,-8971000,88965000,-37.9292
BXP,$500M-$1B,77890000,26026149000,279052000,-285592000,234010000,-5.3571
BZH,$500M-$1B,59038000,2411033000,-5172000,-7774000,40268000,-18.6392
CABO,$500M-$1B,57426000,6846933000,-73491000,-100714000,161787000,-71.8475
CACC,$100M-$500M,99500000,7610200000,118100000,-344200000,296500000,-0.544
CAG,$2B-$10B,-77500000,22052600000,-454500000,-260200000,703400000,-50.2801
CAH,>$50B,325000000,43417000000,-2459000000,-248000000,1981000000,106.5601
CAKE,$2B-$10B,28050000,2840383000,-25558000,-38162000,65035000,59.7487
CAL,$500M-$1B,34727000,1818083000,-28488000,-6548000,37497000,-60.2131
CALM,$2B-$10B,647093000,1954525000,-146359000,-397620000,706509000,25.6385
CALX,$100M-$500M,9598000,941865000,10222000,-3278000,8112000,21.0393
CALY,$1B-$2B,25000000,9120600000,273400000,-139900000,-152100000,-1.397
CAR,$2B-$10B,312000000,32569000000,841000000,-1678000000,819000000,88.4178
CARG,$100M-$500M,16132000,918927000,-73238000,-5887000,66345000,44.542
CARR,$2B-$10B,387000000,32822000000,-213000000,-100000000,120000000,-3.6239
CARS,$100M-$500M,11479000,1172449000,-35647000,-5371000,28141000,-43.335
CASH,$100M-$500M,82613000,6868256000,-8644000,-131072000,183829000,55.9256
CASY,$10B-$50B,339790000,5943270000,191587000,-1157995000,788741000,110.0479
CAT,$10B-$50B,1942000000,87476000000,-1106000000,-683000000,1573000000,130.2468
CB,$10B-$50B,1892000000,230682000000,-1424000000,-570000000,2251000000,26.9334
CBL,$100M-$500M,2259000,2405905000,-110009000,29872000,33175000,93.071
CBOE,$500M-$1B,173400000,7487500000,-141200000,1900000,1030800000,75.6597
CBRL,$2B-$10B,17129000,2218094000,-87241000,-86648000,151236000,-27.1476
CBT,$1B-$2B,129000000,3604000000,-210000000,-64000000,214000000,-16.3225
CBZ,$100M-$500M,73160000,2043592000,61778000,-45896000,-44511000,-58.4982
CC,$1B-$2B,145000000,8251000000,-68000000,-97000000,-124000000,16.277
CCC,$100M-$500M,2184000,3051040000,-4014000,-14534000,33078000,-55.301
CCI,$1B-$2B,418000000,38527000000,-139000000,-407000000,606000000,-12.6354
CCL,$2B-$10B,-1100000000,49120000000,-1552000000,-1509000000,1525000000,43.1367
