quarter,ticker,event_date,event_accession,extraction_source,numeric_evidence_count,guidance_evidence_count,wave_or_demand_evidence_count,warning_or_risk_evidence_count,primary_text_len,exhibit_text_len,semantic_text_len,semantic_parse_status,table_count,json_path
2024Q3,ALG,2024-07-31,0000897077-24-000095,sec_parser_table_xbrl,6,6,6,5,3343,15882,15677,sec_parser,8,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ALG/ALG_2024-07-31_000089707724000095.json
2024Q3,ALGM,2024-07-23,0000950103-24-010519,sec_parser_table_xbrl,6,2,2,6,24252,11371,11493,sec_parser,7,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ALGM/ALGM_2024-07-23_000095010324010519.json
2024Q3,ALGN,2024-07-24,0001097149-24-000045,sec_parser_table_xbrl,6,6,6,6,3364,38426,37812,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ALGN/ALGN_2024-07-24_000109714924000045.json
2024Q3,ALGT,2024-07-31,0001362468-24-000040,sec_parser_table_xbrl,6,6,6,6,7320,45528,44554,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ALGT/ALGT_2024-07-31_000136246824000040.json
2024Q3,ALKS,2024-07-24,0000950170-24-085860,sec_parser_table_xbrl,6,6,6,6,3565,34321,34241,sec_parser,11,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ALKS/ALKS_2024-07-24_000095017024085860.json
2024Q3,ALLE,2024-07-24,0001579241-24-000044,sec_parser_table_xbrl,6,6,6,6,3641,26281,25715,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ALLE/ALLE_2024-07-24_000157924124000044.json
2024Q3,ALRM,2024-08-08,0001459200-24-000020,sec_parser_table_xbrl,6,6,6,5,3529,32418,31983,sec_parser,7,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ALRM/ALRM_2024-08-08_000145920024000020.json
2024Q3,ALTG,2024-08-07,0000950170-24-092824,sec_parser_table_xbrl,6,5,6,6,3589,27699,27640,sec_parser,8,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ALTG/ALTG_2024-08-07_000095017024092824.json
2024Q3,AMC,2024-07-22,0001104659-24-081453,sec_parser_table_xbrl,6,0,6,6,34683,19729,19879,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AMC/AMC_2024-07-22_000110465924081453.json
2024Q3,AMCX,2024-08-09,0001514991-24-000032,sec_parser_table_xbrl,6,2,6,6,3427,28905,28341,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AMCX/AMCX_2024-08-09_000151499124000032.json
2024Q3,AMD,2024-07-30,0000002488-24-000121,sec_parser_table_xbrl,6,6,6,6,5629,23684,24559,sec_parser,0,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AMD/AMD_2024-07-30_000000248824000121.json
2024Q3,AME,2024-08-01,0001037868-24-000045,sec_parser_table_xbrl,6,6,6,6,3584,11613,11472,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AME/AME_2024-08-01_000103786824000045.json
2024Q3,AMGN,2024-08-06,0000318154-24-000033,sec_parser_table_xbrl,6,6,6,6,9686,57096,56034,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AMGN/AMGN_2024-08-06_000031815424000033.json
2024Q3,AMKR,2024-07-29,0001047127-24-000156,sec_parser_table_xbrl,6,3,6,4,3246,17167,16859,sec_parser,6,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AMKR/AMKR_2024-07-29_000104712724000156.json
2024Q3,AMN,2024-08-08,0000950142-24-002148,sec_parser_table_xbrl,6,6,6,6,3378,35206,35576,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AMN/AMN_2024-08-08_000095014224002148.json
2024Q3,AMPH,2024-08-07,0001297184-24-000045,sec_parser_table_xbrl,6,2,5,5,3483,23339,21595,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AMPH/AMPH_2024-08-07_000129718424000045.json
2024Q3,AMR,2024-08-05,0001704715-24-000117,sec_parser_table_xbrl,6,6,6,6,3165,26081,25559,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AMR/AMR_2024-08-05_000170471524000117.json
2024Q3,AMRX,2024-08-09,0001723128-24-000030,sec_parser_table_xbrl,6,6,6,6,5470,48818,48174,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AMRX/AMRX_2024-08-09_000172312824000030.json
2024Q3,AMT,2024-07-30,0001053507-24-000103,sec_parser_table_xbrl,6,6,6,6,5298,57511,56601,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AMT/AMT_2024-07-30_000105350724000103.json
2024Q3,AMWD,2024-08-27,0000794619-24-000067,sec_parser_table_xbrl,6,4,6,6,3022,18082,17897,sec_parser,10,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AMWD/AMWD_2024-08-27_000079461924000067.json
2024Q3,ANDE,2024-08-06,0000821026-24-000179,sec_parser_table_xbrl,6,6,6,6,3011,30873,30279,sec_parser,11,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ANDE/ANDE_2024-08-06_000082102624000179.json
2024Q3,ANET,2024-07-30,0001596532-24-000277,sec_parser_table_xbrl,6,4,6,6,3646,18334,18142,sec_parser,4,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ANET/ANET_2024-07-30_000159653224000277.json
2024Q3,ANF,2024-08-29,0001018840-24-000066,sec_parser_table_xbrl,6,6,6,6,5396,48800,49195,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ANF/ANF_2024-08-29_000101884024000066.json
2024Q3,ANGI,2024-08-15,0001705110-24-000082,sec_parser_table_xbrl,6,6,6,6,3694,28995,28520,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ANGI/ANGI_2024-08-15_000170511024000082.json
2024Q3,ANGO,2024-07-16,0001140361-24-033242,sec_parser_table_xbrl,6,6,6,6,6666,53681,53952,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ANGO/ANGO_2024-07-16_000114036124033242.json
2024Q3,AON,2024-07-26,0001628280-24-033048,sec_parser_table_xbrl,6,4,6,6,6341,39214,38643,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AON/AON_2024-07-26_000162828024033048.json
2024Q3,AOS,2024-07-23,0000091142-24-000147,sec_parser_table_xbrl,6,6,6,6,3006,19186,18821,sec_parser,11,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AOS/AOS_2024-07-23_000009114224000147.json
2024Q3,AOSL,2024-08-07,0001387467-24-000066,sec_parser_table_xbrl,6,6,6,6,3612,37643,37151,sec_parser,9,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AOSL/AOSL_2024-08-07_000138746724000066.json
2024Q3,APAM,2024-07-23,0001517302-24-000052,sec_parser_table_xbrl,6,1,6,6,3729,52498,51183,sec_parser,11,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/APAM/APAM_2024-07-23_000151730224000052.json
2024Q3,APD,2024-08-01,0000002969-24-000041,sec_parser_table_xbrl,6,6,6,6,3956,39284,38752,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/APD/APD_2024-08-01_000000296924000041.json
2024Q3,APEI,2024-08-06,0001104659-24-086254,sec_parser_table_xbrl,6,6,6,6,3467,39501,40389,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/APEI/APEI_2024-08-06_000110465924086254.json
2024Q3,APH,2024-07-24,0001558370-24-010011,sec_parser_table_xbrl,6,6,6,5,5711,47457,45141,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/APH/APH_2024-07-24_000155837024010011.json
2024Q3,APLE,2024-08-05,0000950170-24-090772,sec_parser_table_xbrl,6,6,6,6,3421,64768,64717,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/APLE/APLE_2024-08-05_000095017024090772.json
2024Q3,APO,2024-08-01,0001858681-24-000090,sec_parser_table_xbrl,6,5,6,6,4127,94843,96094,sec_parser,0,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/APO/APO_2024-08-01_000185868124000090.json
2024Q3,APP,2024-08-07,0001751008-24-000053,sec_parser_table_xbrl,6,3,6,6,3524,25709,26298,sec_parser,2,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/APP/APP_2024-08-07_000175100824000053.json
2024Q3,APPF,2024-07-25,0001433195-24-000103,sec_parser_table_xbrl,6,6,6,6,3502,23701,23178,sec_parser,8,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/APPF/APPF_2024-07-25_000143319524000103.json
2024Q3,APPN,2024-08-01,0001441683-24-000068,sec_parser_table_xbrl,6,6,6,6,3497,23769,23352,sec_parser,7,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/APPN/APPN_2024-08-01_000144168324000068.json
2024Q3,APTV,2024-08-01,0001521332-24-000055,sec_parser_table_xbrl,6,6,6,6,5345,41829,41062,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/APTV/APTV_2024-08-01_000152133224000055.json
2024Q3,ARCB,2024-08-02,0001558370-24-010640,sec_parser_table_xbrl,6,6,6,6,6146,84452,80796,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ARCB/ARCB_2024-08-02_000155837024010640.json
2024Q3,ARES,2024-08-02,0001628280-24-034260,sec_parser_table_xbrl,6,6,6,6,4549,136280,137792,sec_parser,1,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ARES/ARES_2024-08-02_000162828024034260.json
2024Q3,ARLO,2024-08-08,0001736946-24-000033,sec_parser_table_xbrl,6,6,6,6,3386,29194,28516,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ARLO/ARLO_2024-08-08_000173694624000033.json
2024Q3,ARLP,2024-07-29,0001558370-24-010256,sec_parser_table_xbrl,6,6,6,6,6258,54696,52682,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ARLP/ARLP_2024-07-29_000155837024010256.json
2024Q3,AROC,2024-07-22,0001104659-24-081572,sec_parser_table_xbrl,6,6,6,6,23752,33298,33501,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AROC/AROC_2024-07-22_000110465924081572.json
2024Q3,ARRY,2024-08-08,0001820721-24-000060,sec_parser_table_xbrl,6,6,6,6,4384,49296,49455,sec_parser,9,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ARRY/ARRY_2024-08-08_000182072124000060.json
2024Q3,ARWR,2024-08-08,0001628280-24-036113,sec_parser_table_xbrl,0,1,6,4,3431,19158,19011,sec_parser,2,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ARWR/ARWR_2024-08-08_000162828024036113.json
2024Q3,ASAN,2024-09-03,0001477720-24-000075,sec_parser_table_xbrl,6,6,6,6,5239,25870,25399,sec_parser,7,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ASAN/ASAN_2024-09-03_000147772024000075.json
2024Q3,ASB,2024-07-25,0000007789-24-000058,sec_parser_table_xbrl,6,6,6,6,3820,93939,92587,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ASB/ASB_2024-07-25_000000778924000058.json
2024Q3,ASGN,2024-07-24,0000890564-24-000017,sec_parser_table_xbrl,6,2,6,1,3282,19877,19538,sec_parser,8,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ASGN/ASGN_2024-07-24_000089056424000017.json
2024Q3,ASIX,2024-08-02,0001673985-24-000102,sec_parser_table_xbrl,6,6,6,4,3322,22145,21754,sec_parser,10,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ASIX/ASIX_2024-08-02_000167398524000102.json
2024Q3,ASO,2024-09-10,0001817358-24-000170,sec_parser_table_xbrl,6,6,6,6,3943,23068,22549,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ASO/ASO_2024-09-10_000181735824000170.json
2024Q3,ASTH,2024-08-07,0001104659-24-086761,sec_parser_table_xbrl,6,6,6,2,3726,23902,24106,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ASTH/ASTH_2024-08-07_000110465924086761.json
2024Q3,ATKR,2024-08-06,0001666138-24-000067,sec_parser_table_xbrl,6,6,6,6,3798,51080,51290,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ATKR/ATKR_2024-08-06_000166613824000067.json
2024Q3,ATMU,2024-08-02,0001921963-24-000096,sec_parser_table_xbrl,6,4,6,5,3573,18786,18568,sec_parser,7,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ATMU/ATMU_2024-08-02_000192196324000096.json
2024Q3,ATNI,2024-07-25,0001104659-24-082429,sec_parser_table_xbrl,6,6,6,6,3254,34766,35137,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ATNI/ATNI_2024-07-25_000110465924082429.json
2024Q3,ATO,2024-08-07,0000731802-24-000021,sec_parser_table_xbrl,1,6,6,0,4398,6981,7016,sec_parser,1,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ATO/ATO_2024-08-07_000073180224000021.json
2024Q3,ATRO,2024-08-01,0000008063-24-000043,sec_parser_table_xbrl,6,6,6,6,3352,30136,29563,sec_parser,10,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ATRO/ATRO_2024-08-01_000000806324000043.json
2024Q3,AVA,2024-08-07,0000950170-24-092166,sec_parser_table_xbrl,5,6,6,3,3791,26697,26646,sec_parser,3,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AVA/AVA_2024-08-07_000095017024092166.json
2024Q3,AVAV,2024-09-04,0001558370-24-012580,sec_parser_table_xbrl,6,6,6,6,4862,34142,33174,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AVAV/AVAV_2024-09-04_000155837024012580.json
2024Q3,AVB,2024-08-01,0000915912-24-000013,sec_parser_table_xbrl,6,6,6,6,3192,145152,141884,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AVB/AVB_2024-08-01_000091591224000013.json
2024Q3,AVD,2024-08-09,0001193125-24-197961,sec_parser_table_xbrl,6,6,6,6,3886,77506,77469,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AVD/AVD_2024-08-09_000119312524197961.json
2024Q3,AVNS,2024-07-31,0001606498-24-000074,sec_parser_table_xbrl,6,4,6,6,3352,31655,30530,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AVNS/AVNS_2024-07-31_000160649824000074.json
2024Q3,AVNT,2024-08-06,0001122976-24-000053,sec_parser_table_xbrl,6,6,6,6,2718,26769,26236,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AVNT/AVNT_2024-08-06_000112297624000053.json
2024Q3,AVNW,2024-09-11,0001377789-24-000036,sec_parser_table_xbrl,3,2,6,4,5997,6326,6292,sec_parser,0,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AVNW/AVNW_2024-09-11_000137778924000036.json
2024Q3,AVY,2024-07-23,0001193125-24-182566,sec_parser_table_xbrl,6,6,6,6,9385,50835,50822,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AVY/AVY_2024-07-23_000119312524182566.json
2024Q3,AWK,2024-07-31,0001410636-24-000135,sec_parser_table_xbrl,6,6,6,6,3488,27777,27655,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AWK/AWK_2024-07-31_000141063624000135.json
2024Q3,AWR,2024-08-06,0001628280-24-035233,sec_parser_table_xbrl,6,3,6,6,3558,22582,22327,sec_parser,6,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AWR/AWR_2024-08-06_000162828024035233.json
2024Q3,AXON,2024-08-06,0001069183-24-000047,sec_parser_table_xbrl,6,6,6,6,3477,61891,58746,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AXON/AXON_2024-08-06_000106918324000047.json
2024Q3,AXP,2024-07-19,0000004962-24-000051,sec_parser_table_xbrl,6,6,6,6,18904,47053,45292,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AXP/AXP_2024-07-19_000000496224000051.json
