ticker,cik,doc_type,accession,document,current_text_len,html_path,text_path
COLL,1267565,earnings_exhibit,0001104659-24-083126,coll-20240808xex99d1.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/COLL_000110465924083126_coll-20240808xex99d1.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/COLL_000110465924083126_coll-20240808xex99d1.htm.txt
CPB,16732,earnings_exhibit,0000016732-24-000124,exhibit991-q42024.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/CPB_000001673224000124_exhibit991-q42024.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CPB_000001673224000124_exhibit991-q42024.htm.txt
CRC,1609253,earnings_exhibit,0001193125-24-173343,a2024q2erex991.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/CRC_000119312524173343_a2024q2erex991.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CRC_000119312524173343_a2024q2erex991.htm.txt
CRC,1609253,earnings_exhibit,0001193125-24-173343,d855755dex991.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/CRC_000119312524173343_d855755dex991.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CRC_000119312524173343_d855755dex991.htm.txt
CRNC,1768267,earnings_exhibit,0001193125-24-174406,crnc-ex99_1.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/CRNC_000119312524174406_crnc-ex99_1.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CRNC_000119312524174406_crnc-ex99_1.htm.txt
CRNC,1768267,earnings_exhibit,0001193125-24-174406,crnc-ex99_2.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/CRNC_000119312524174406_crnc-ex99_2.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CRNC_000119312524174406_crnc-ex99_2.htm.txt
CRSR,1743759,earnings_exhibit,0000950170-24-084571,crsr-ex99_2.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/CRSR_000095017024084571_crsr-ex99_2.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CRSR_000095017024084571_crsr-ex99_2.htm.txt
CTAS,723254,earnings_exhibit,0000723254-24-000032,ex992024-8x31.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/CTAS_000072325424000032_ex992024-8x31.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CTAS_000072325424000032_ex992024-8x31.htm.txt
DDD,910638,earnings_exhibit,0001193125-24-199841,d690946dex991.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/DDD_000119312524199841_d690946dex991.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/DDD_000119312524199841_d690946dex991.htm.txt
DDD,910638,earnings_exhibit,0001193125-24-199841,d189782dex991.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/DDD_000119312524199841_d189782dex991.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/DDD_000119312524199841_d189782dex991.htm.txt
DTE,936340,earnings_exhibit,0000936340-24-000176,dtegas-exhibit991x63024.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/DTE_000093634024000176_dtegas-exhibit991x63024.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/DTE_000093634024000176_dtegas-exhibit991x63024.htm.txt
EHAB,0001803737,earnings_exhibit,0001803737-24-000120,enhabit_earningsxslidesx.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/EHAB_000180373724000120_enhabit_earningsxslidesx.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/EHAB_000180373724000120_enhabit_earningsxslidesx.htm.txt
