quarter,ticker,cik,asof_date
2024Q1,HY,1173514,2024-02-27
2024Q1,HZO,1057060,2024-01-25
2024Q1,IAC,1800227,2024-02-13
2024Q1,IART,917520,2024-02-28
2024Q1,IBP,1580905,2024-02-22
2024Q1,ICE,1571949,2024-02-08
2024Q1,ICFI,1362004,2024-01-25
2024Q1,ICHR,1652535,2024-02-06
2024Q1,ICUI,883984,2024-02-27
2024Q1,IDCC,1405495,2024-01-16
2024Q1,IDXX,874716,2024-02-05
2024Q1,IEP,813762,2024-02-21
2024Q1,IESC,1048268,2024-02-02
2024Q1,IEX,832101,2024-02-07
2024Q1,IFF,51253,2024-01-18
2024Q1,IIIV,1728688,2024-02-08
2024Q1,ILMN,1110803,2024-01-09
2024Q1,INSW,1679049,2024-02-29
2024Q1,INTA,1565687,2024-02-06
2024Q1,IONS,874015,2024-02-21
2024Q1,IOSP,1054905,2024-02-14
2024Q1,IP,51434,2024-02-01
2024Q1,IPAR,822663,2024-01-23
2024Q1,IPGP,1111928,2024-02-13
2024Q1,IQV,1478242,2024-02-14
2024Q1,IR,1699150,2024-02-15
2024Q1,IRDM,1418819,2024-02-15
2024Q1,IRM,1020569,2024-02-22
2024Q1,IRT,1466085,2024-02-14
2024Q1,IRTC,1388658,2024-02-22
2024Q1,IRWD,1446847,2024-01-08
2024Q1,ISRG,1035267,2024-01-09
2024Q1,IT,749251,2024-02-06
2024Q1,ITW,49826,2024-02-01
2024Q1,IVZ,914208,2024-01-23
2024Q1,J,52988,2024-02-06
2024Q1,JACK,807882,2024-02-21
2024Q1,JAZZ,1232524,2024-01-08
2024Q1,JBGS,1689796,2024-02-20
2024Q1,JBI,1839839,2024-02-28
2024Q1,JBLU,1158463,2024-01-08
2024Q1,JBSS,880117,2024-01-31
2024Q1,JBTM,1433660,2024-01-19
2024Q1,JELD,1674335,2024-02-20
2024Q1,JILL,1687932,2024-03-20
2024Q1,JKHY,779152,2024-01-29
2024Q1,JRVR,1620459,2024-02-28
2024Q1,KAI,886346,2024-02-14
2024Q1,KALU,811596,2024-02-21
2024Q1,KBH,795266,2024-01-10
2024Q1,KDP,1418135,2024-02-22
2024Q1,KE,1606757,2024-02-05
2024Q1,KELYA,55135,2024-02-15
2024Q1,KEQU,55529,2024-03-06
2024Q1,KEY,91576,2024-01-18
2024Q1,KEYS,1601046,2024-02-20
2024Q1,KFRC,930420,2024-02-05
2024Q1,KFY,56679,2024-03-06
2024Q1,KGS,0001767042,2024-01-29
2024Q1,KIM,879101,2024-02-08
2024Q1,KKR,1404912,2024-02-06
2024Q1,KLAC,319201,2024-01-25
2024Q1,KLIC,56978,2024-01-31
2024Q1,KLXE,1738827,2024-02-26
2024Q1,KMI,1506307,2024-01-17
2024Q1,KMT,55242,2024-02-07
2024Q1,KN,1587523,2024-02-07
2024Q1,KNF,0001955520,2024-02-15
2024Q1,KNTK,1692787,2024-02-29
2024Q1,KOP,1315257,2024-02-28
2024Q1,KOS,1509991,2024-02-26
2024Q1,KRG,1286043,2024-02-13
2024Q1,KRO,1257640,2024-01-23
2024Q1,KSS,885639,2024-03-12
2024Q1,KTB,1760965,2024-02-28
2024Q1,KTOS,1069258,2024-02-13
2024Q1,KVUE,0001944048,2024-02-08
2024Q1,KW,1408100,2024-02-21
2024Q1,KWR,81362,2024-02-29
2024Q1,L,60086,2024-02-05
2024Q1,LAUR,912766,2024-02-22
2024Q1,LBRDA,1611983,2024-02-16
2024Q1,LBRDK,1611983,2024-02-16
2024Q1,LBTYA,1570585,2024-02-15
2024Q1,LBTYK,1570585,2024-02-15
2024Q1,LC,1409970,2024-01-30
2024Q1,LCID,1811210,2024-01-11
2024Q1,LCII,763744,2024-01-30
2024Q1,LCUT,874396,2024-03-12
2024Q1,LDOS,1336920,2024-02-13
2024Q1,LE,799288,2024-03-27
2024Q1,LECO,59527,2024-02-15
2024Q1,LEG,58492,2024-01-16
2024Q1,LESL,1821806,2024-02-01
2024Q1,LFCR,1005286,2024-03-20
2024Q1,LFST,1845257,2024-02-02
2024Q1,LFUS,889331,2024-01-30
2024Q1,LGIH,1580670,2024-02-20
2024Q1,LH,920148,2024-02-15
2024Q1,LHX,202058,2024-01-25
2024Q1,LII,1069202,2024-01-31
2024Q1,LILA,1712184,2024-02-22
2024Q1,LILAK,1712184,2024-02-22
2024Q1,LIN,1707925,2024-02-06
2024Q1,LITE,1633978,2024-02-08
2024Q1,LIVN,1639691,2024-02-21
2024Q1,LKQ,1065696,2024-02-22
2024Q1,LLY,59478,2024-02-06
2024Q1,LMB,1606163,2024-03-13
2024Q1,LNT,352541,2024-02-16
2024Q1,LNTH,1521036,2024-01-09
2024Q1,LOCO,1606366,2024-03-07
2024Q1,LOGI,1032975,2024-01-23
2024Q1,LOPE,1434588,2024-02-13
2024Q1,LPG,1596993,2024-01-25
2024Q1,LPLA,1397911,2024-02-01
2024Q1,LPSN,1102993,2024-02-28
2024Q1,LQDT,1235468,2024-02-08
2024Q1,LSTR,853816,2024-01-31
2024Q1,LTH,1869198,2024-02-28
2024Q1,LULU,1397187,2024-03-21
2024Q1,LUV,92380,2024-01-25
2024Q1,LVS,1300514,2024-01-24
2024Q1,LXU,60714,2024-03-05
2024Q1,LYFT,1759509,2024-02-13
2024Q1,LYV,1335258,2024-02-22
2024Q1,LZ,1286139,2024-02-22
2024Q1,LZB,57131,2024-02-20
2024Q1,MA,1141391,2024-01-31
