ticker,indexes,name
NUE,SPY,Nucor
NVDA,DOW;QQQ;SPY,Nvidia
NVR,SPY,"NVR, Inc."
NWS,SPY,News Corp (Class B)
NWSA,SPY,News Corp (Class A)
NXPI,QQQ;SPY,NXP Semiconductors
O,SPY,Realty Income
ODFL,QQQ;SPY,Old Dominion
OKE,SPY,Oneok
OMC,SPY,Omnicom Group
ON,SPY,ON Semiconductor
ORCL,SPY,Oracle Corporation
ORLY,QQQ;SPY,O’Reilly Automotive
OTIS,SPY,Otis Worldwide
OXY,SPY,Occidental Petroleum
PANW,QQQ;SPY,Palo Alto Networks
PAYX,QQQ;SPY,Paychex
PCAR,QQQ;SPY,Paccar
PCG,SPY,PG&E Corporation
PDD,QQQ,PDD Holdings
PEG,SPY,Public Service Enterprise Group
PEP,QQQ;SPY,PepsiCo
PFE,SPY,Pfizer
PFG,SPY,Principal Financial Group
PG,DOW;SPY,Procter & Gamble
PGR,SPY,Progressive Corporation
PH,SPY,Parker Hannifin
PHM,SPY,PulteGroup
PKG,SPY,Packaging Corporation of America
PLD,SPY,Prologis
PLTR,QQQ;SPY,Palantir Technologies
PM,SPY,Philip Morris International
PNC,SPY,PNC Financial Services
PNR,SPY,Pentair
PNW,SPY,Pinnacle West Capital
PODD,SPY,Insulet Corporation
POOL,SPY,Pool Corporation
PPG,SPY,PPG Industries
PPL,SPY,PPL Corporation
PRU,SPY,Prudential Financial
PSA,SPY,Public Storage
PSKY,SPY,Paramount Skydance Corporation
PSX,SPY,Phillips 66
PTC,SPY,PTC Inc.
PWR,SPY,Quanta Services
PYPL,QQQ;SPY,PayPal
Q,SPY,Qnity Electronics
QCOM,QQQ;SPY,Qualcomm
RCL,SPY,Royal Caribbean Group
REG,SPY,Regency Centers
REGN,QQQ;SPY,Regeneron Pharmaceuticals
RF,SPY,Regions Financial Corporation
RJF,SPY,Raymond James Financial
RL,SPY,Ralph Lauren Corporation
RMD,SPY,ResMed
ROK,SPY,Rockwell Automation
ROL,SPY,"Rollins, Inc."
ROP,QQQ;SPY,Roper Technologies
ROST,QQQ;SPY,Ross Stores
RSG,SPY,Republic Services
RTX,SPY,RTX Corporation
RVTY,SPY,Revvity
SATS,SPY,EchoStar
SBAC,SPY,SBA Communications
SBUX,QQQ;SPY,Starbucks
SCHW,SPY,Charles Schwab Corporation
SHOP,QQQ,Shopify
SHW,DOW;SPY,Sherwin-Williams
SJM,SPY,J.M. Smucker Company (The)
SLB,SPY,Schlumberger
SMCI,SPY,Supermicro
SNA,SPY,Snap-on
SNDK,QQQ;SPY,Sandisk
SNPS,QQQ;SPY,Synopsys
SO,SPY,Southern Company
SOLV,SPY,Solventum
SPG,SPY,Simon Property Group
SPGI,SPY,S&P Global
SRE,SPY,Sempra
STE,SPY,Steris
STLD,SPY,Steel Dynamics
STT,SPY,State Street Corporation
STX,QQQ;SPY,Seagate Technology
STZ,SPY,Constellation Brands
SW,SPY,Smurfit Westrock
SWK,SPY,Stanley Black & Decker
SWKS,SPY,Skyworks Solutions
SYF,SPY,Synchrony Financial
SYK,SPY,Stryker Corporation
SYY,SPY,Sysco
T,SPY,AT&T
TAP,SPY,Molson Coors Beverage Company
TDG,SPY,TransDigm Group
TDY,SPY,Teledyne Technologies
TECH,SPY,Bio-Techne
TEL,SPY,TE Connectivity
TER,SPY,Teradyne
TFC,SPY,Truist Financial
TGT,SPY,Target Corporation
TJX,SPY,TJX Companies
TKO,SPY,TKO Group Holdings
TMO,SPY,Thermo Fisher Scientific
TMUS,QQQ;SPY,T-Mobile US
TPL,SPY,Texas Pacific Land Corporation
TPR,SPY,"Tapestry, Inc."
TRGP,SPY,Targa Resources
TRI,QQQ,Thomson Reuters
TRMB,SPY,Trimble Inc.
TROW,SPY,T. Rowe Price
TRV,DOW;SPY,Travelers Companies (The)
TSCO,SPY,Tractor Supply
TSLA,QQQ;SPY,"Tesla, Inc."
TSN,SPY,Tyson Foods
TT,SPY,Trane Technologies
TTD,SPY,Trade Desk (The)
TTWO,QQQ;SPY,Take-Two Interactive
TXN,QQQ;SPY,Texas Instruments
TXT,SPY,Textron
TYL,SPY,Tyler Technologies
UAL,SPY,United Airlines Holdings
UBER,SPY,Uber
