quarter,asof_date,ticker,included,filter_reason,liquidity_flag,asset_class,sector_gics,seed_sources,sec_facts_status,cik,revenue_fact_name,revenue_filed,revenue_form,revenue_period_end,revenue_value,price_date,raw_close,avg_dollar_volume_60d
2024Q3,2024-07-01,ACON,True,included,low_liquidity_keep,Equity,,nasdaq,ok,0001635077,Revenues,2024-05-15,10-Q,2023-03-31,25470,2024-07-01,2632.094970703125,938560.4689127604
2024Q3,2024-07-01,ACRE,True,included,,Equity,,russell2000,ok,1529377,Revenues,2024-05-09,10-Q,2023-03-31,26501000,2024-07-01,6.53000020980835,3984881.505885919
2024Q3,2024-07-01,ACT,True,included,,Equity,,nasdaq;russell2000,ok,1823529,Revenues,2024-05-03,10-Q,2023-03-31,280939000,2024-07-01,31.010000228881836,5909957.7314345045
2024Q3,2024-07-01,ACTG,True,included,low_liquidity_keep,Equity,,nasdaq;russell2000,ok,934549,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-10,10-Q,2023-03-31,14803000,2024-07-01,4.980000019073486,1144735.9629948933
2024Q3,2024-07-01,ACU,True,included,low_liquidity_keep,Equity,,russell2000,ok,2098,Revenues,2024-05-08,10-Q,2023-03-31,45838000,2024-07-01,34.77000045776367,906797.1285502115
2024Q3,2024-07-01,ACVA,True,included,,Equity,,russell2000,ok,1637873,Revenues,2024-05-08,10-Q,2023-03-31,119626000,2024-07-01,17.5,18640651.654628117
2024Q3,2024-07-01,ADBE,True,included,,Equity,Technology,sp500;nasdaq,ok,796343,Revenues,2024-06-26,10-Q,2023-06-02,9471000000,2024-07-01,560.010009765625,1728434123.263448
2024Q3,2024-07-01,ADCT,True,included,,Equity,,russell2000,ok,1771910,Revenues,2024-05-06,10-Q,2023-03-31,18992000,2024-07-01,3.680000066757202,2966477.5687297187
2024Q3,2024-07-01,ADEA,True,included,,Equity,,nasdaq;russell2000,ok,1803696,Revenues,2024-05-08,10-Q,2023-03-31,117307000,2024-07-01,11.199999809265137,5227415.399191094
2024Q3,2024-07-01,ADI,True,included,,Equity,Technology,sp500;nasdaq,ok,6281,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-22,10-Q,2023-04-29,6512560000,2024-07-01,225.17999267578125,708267695.5939993
2024Q3,2024-07-01,ADM,True,included,,Equity,,sp500,ok,7084,Revenues,2024-04-30,10-Q,2023-03-31,24072000000,2024-07-01,60.63999938964844,249486168.06794485
2024Q3,2024-07-01,ADMA,True,included,,Equity,,nasdaq;russell2000,ok,1368514,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-09,10-Q,2023-03-31,56914000,2024-07-01,11.550000190734863,26403480.55973053
2024Q3,2024-07-01,ADNT,True,included,,Equity,,russell2000,ok,1670541,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-03,10-Q,2023-03-31,7611000000,2024-07-01,24.670000076293945,30664658.565073013
2024Q3,2024-07-01,ADP,True,included,,Equity,Industrials,sp500;nasdaq,ok,8670,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-02,10-Q,2023-03-31,13534400000,2024-07-01,235.6699981689453,360540834.24135846
2024Q3,2024-07-01,ADPT,True,included,,Equity,,nasdaq;russell2000,ok,1478320,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-07,10-Q,2023-03-31,37647000,2024-07-01,3.5999999046325684,5458683.156353633
2024Q3,2024-07-01,ADSK,True,included,,Equity,Technology,sp500;nasdaq,ok,769397,RevenueFromContractWithCustomerExcludingAssessedTax,2024-06-10,10-K,2022-01-31,4386000000,2024-07-01,245.8300018310547,511855801.1524455
2024Q3,2024-07-01,ADTN,True,included,,Equity,,nasdaq;russell2000,ok,926282,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-10,10-Q,2023-03-31,323912000,2024-07-01,5.119999885559082,6517380.356072585
2024Q3,2024-07-01,ADUS,True,included,,Equity,,nasdaq;russell2000,ok,1468328,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-07,10-Q,2023-03-31,251599000,2024-07-01,116.16000366210938,16572781.441815695
2024Q3,2024-07-01,ADV,True,included,,Equity,,nasdaq;russell2000,ok,1776661,Revenues,2024-05-10,10-Q,2023-03-31,944382000,2024-07-01,78.25,4118130.783333333
2024Q3,2024-07-01,AEE,True,included,,Equity,Energy,sp500,ok,1002910,Revenues,2024-05-06,10-Q,2023-03-31,2062000000,2024-07-01,70.75,118758875.964063
2024Q3,2024-07-01,AEHR,True,included,,Equity,Technology,nasdaq;russell2000,ok,1040470,RevenueFromContractWithCustomerExcludingAssessedTax,2024-04-10,10-Q,2023-02-28,42692000,2024-07-01,11.100000381469727,9810432.764437994
2024Q3,2024-07-01,AEIS,True,included,,Equity,,nasdaq;russell2000,ok,927003,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-01,10-Q,2023-03-31,425040000,2024-07-01,105.83000183105469,19140500.571861267
2024Q3,2024-07-01,AEMD,True,included,,Equity,,nasdaq,ok,882291,Revenues,2024-06-27,10-K,2023-03-31,574245,2024-07-01,36.0,2845842.420164871
2024Q3,2024-07-01,AEO,True,included,,Equity,,russell2000,ok,919012,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-30,10-Q,2023-04-29,1080926000,2024-07-01,19.399999618530273,106428969.58061536
2024Q3,2024-07-01,AEP,True,included,,Equity,Energy,sp500;nasdaq,ok,4904,Revenues,2024-04-30,10-Q,2023-03-31,4690900000,2024-07-01,87.27999877929688,244924779.87691244
2024Q3,2024-07-01,AES,True,included,,Equity,Energy,sp500,ok,874761,Revenues,2024-05-02,10-Q,2023-03-31,3239000000,2024-07-01,17.440000534057617,152644838.68563652
2024Q3,2024-07-01,AESI,True,included,,Equity,,russell2000,ok,0001984060,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-08,10-Q,2023-03-31,153418000,2024-07-01,20.040000915527344,23719849.715925854
2024Q3,2024-07-01,AEVA,True,included,low_liquidity_keep,Equity,,nasdaq;russell2000,ok,1789029,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-09,10-Q,2023-03-31,1148000,2024-07-01,2.490000009536743,747203.080997467
2024Q3,2024-07-01,AEYE,True,included,,Equity,,nasdaq;russell2000,ok,1362190,Revenues,2024-04-30,10-Q,2023-03-31,7772000,2024-07-01,18.34000015258789,5246656.4587243395
2024Q3,2024-07-01,AFCG,True,included,low_liquidity_keep,Equity,,nasdaq,ok,1822523,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-09,10-Q,2023-03-31,16832326,2024-07-01,8.268308639526367,1297640.3698630652
