quarter,ticker,event_date,revenue_bucket,revenue_value_millions,avg_dollar_volume_60d,earnings_score,earnings_score_bucket,guidance_torque,earnings_torque,segment_wave_torque,margin_quality,warning_penalty,guidance_vs_current_pct,score_status,score_missing_fields,extraction_source,quarter_revenue_millions,quarter_revenue_yoy_pct,guidance_revenue_millions,numeric_evidence_count,guidance_evidence_count,wave_or_demand_evidence_count,warning_or_risk_evidence_count,exhibit_doc_count,exhibit_text_len,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct,adv_bucket_fine
2024Q3,IONQ,2024-08-07,<$100M,4.285,39214027.39,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,38,,,2,6,6,6,1,18316,2024-08-08,7.240000,0.6906,-3.1768,-8.5635,25.2762,127.2100,$25M-$50M ADV
2024Q3,IOVA,2024-08-08,<$100M,0.715,62462430.3,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,55,,,5,6,6,6,1,27858,2024-08-09,9.390000,19.1693,21.1928,5.0053,3.5144,30.7774,$50M-$75M ADV
2024Q3,JXN,2024-08-07,<$100M,-764.0,48093323.3,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,1400,,,6,1,6,6,1,25475,2024-08-08,79.440002,11.5937,8.4970,1.4225,21.9537,43.1772,$25M-$50M ADV
2024Q3,KRYS,2024-08-05,<$100M,0.0,67233053.26,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,70.3,,,6,6,6,6,1,21966,2024-08-06,182.399994,5.4825,9.9287,2.0066,-4.0570,-6.3322,$50M-$75M ADV
2024Q3,MARA,2024-08-01,<$100M,51.132,882886300.71,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,145.1,,,5,2,6,6,1,19926,2024-08-02,17.709999,-14.6810,-4.7995,-13.8340,-14.9068,-5.3077,>$100M ADV
2024Q3,MDGL,2024-08-07,<$100M,0.0,113181124.27,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,14.6,,,5,5,6,4,1,17112,2024-08-08,241.179993,6.4475,3.9846,-1.0324,-10.9254,40.2355,>$100M ADV
2024Q3,NTLA,2024-08-08,<$100M,12.606,37442038.15,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,7,,,1,4,6,6,1,20712,2024-08-09,22.400000,4.6429,2.6786,-11.4732,-20.1339,-28.5714,$25M-$50M ADV
2024Q3,OWL,2024-08-01,<$100M,85.864,106213578.25,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,6,6,6,6,2,52036,2024-08-02,17.010000,-0.4115,1.8225,0.2351,14.6972,31.4521,>$100M ADV
2024Q3,RENT,2024-09-05,<$100M,74.2,28810486.4,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,78.9,,,6,6,6,6,1,25846,2024-09-06,13.650000,-24.6154,-27.2527,-28.8645,-18.8278,-17.5824,$25M-$50M ADV
2024Q3,RGEN,2024-07-30,<$100M,30.59,96201860.63,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,154,,,6,6,6,5,1,24309,2024-07-31,160.970001,1.6214,-6.6534,-6.2372,-7.5480,-16.2142,$75M-$100M ADV
2024Q3,RIOT,2024-07-31,<$100M,73.236,234826393.24,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,70,,,6,6,6,6,2,47946,2024-08-01,10.100000,-24.6535,-17.3267,-32.8713,-26.5347,3.7624,>$100M ADV
